ID,問題,難易度,解答,別答,意味,同音異義語用
I2208,過去【ジンテン】の如し,◆５,塵点,,"👉かこじんてんのごとし。
遠い昔をたとえていう。〈故事俗信ことわざ大辞典〉
★過去は遠く過ぎ去ってもう塵のように小さな点になってしまったという意。
＊『謡曲･春栄』",ジンテン
I2209,【ヨウシュウ】山を以て卑しと為して巣を其の上に増す,◆５,鷹鷲,,"👉ようしゅうやまをもってひくしとなしてすをそのうえにます。
険しい高山にすむ鷹や鷲はその山すら低いとして、巣をより高く築く。居所をえらび、危険から遠ざかろうとつとめることのたとえ。また一説には、そのような鷹や鷲も餌につられて捕らえられるところから、人間も利欲を慎まないと失敗するという戒めをこめる。〈故事俗信ことわざ大辞典〉
＊『説苑-説叢』",ヨウシュウ
I2210,渡口の【ユウセン】は風静まって出ず,◆５,郵船,,"👉とこうのゆうせんはかぜしずまっていず。
渡し場の定期船は風が落ち着くのを待って出帆する。転じて、安全を考えて慎重に事を運ぶことのたとえ。〈故事俗信ことわざ大辞典〉
★「郵船」は、古くは宿駅間の定期船をいった。
＊『和漢朗詠-下･行旅』",ユウセン
I2211,【ドゲイ】の石を抉るが如し,◆５,怒猊,,"👉どげいのいしをえぐるがごとし。
勢いがあって力強いさまのたとえ。〈故事俗信ことわざ大辞典〉
★「怒猊」は、怒った獅子。
＊『新唐書-徐浩伝』",ドゲイ
I2212,両虎相闘って【ドケン】其の弊を受く,◆５,駑犬,,"👉りょうこあいたたかってどけんそのへいをうく。
二頭の虎が戦って疲れたすきに乗じて、つまらない犬が労なくして利を得る。〈故事俗信ことわざ大辞典〉
★「駑犬」は、劣っている犬。
★「弊」は、疲れること。
＊『史記-春申君伝』",ドケン
I2213,湍水の【シンガク】に赴くが若し,◆５,深壑,,"👉たんすいのしんがくにおもむくがごとし。
民百姓が仁政のところに赴くことは、あたかも滝つ瀬の水が深い谷に赴くようなもので、防ぎとめようとしても防ぎとめることのできるものではない。〈中国古典名言事典〉
★「湍水」は、急流のさかまく水。
★「深壑」は、深い谷。
＊『宋名臣言行録-韓琦』",シンガク
I2214,【ドウコウ】を紹ぐ,◆５,堂構,,"👉どうこうをつぐ。
父の設計を受け継いで、子が家を建てること。転じて、父祖の家業、事業を継承すること。〈故事俗信ことわざ大辞典〉
★「堂構」は、建物の構え。
＊『陳琳-檄呉将校部曲文』",ドウコウ
I2215,【ドウミャク】食わす,◆５,銅脈,,"👉どうみゃくくわす。
にせ物をつかます。だます。〈故事俗信ことわざ大辞典〉
★「銅脈」は、にせ物、また粗悪なもの。
＊『洒落本･遊客年々考』",ドウミャク
I2216,錦に【トクセキ】を包む,◆５,特石,,"👉きんにとくせきをつつむ。
上べはきらびやかでりっぱだが、中身はいたってひどいことのたとえ。錦の袋に糖味噌を包む。錦の袋に糞を包む。〈故事俗信ことわざ大辞典〉
★「特石」は、雄牛の糞。
＊『明暦刊本句双紙抄』",トクセキ
I2217,【フウソウ】の徳,◆５,風草,,"👉ふうそうのとく。
君子の仁徳。〈故事俗信ことわざ大辞典〉
＊『論語-顔淵』",フウソウ
I2218,刀を売り【トク】を買う,◆５,犢,,"👉とうをうりとくをかう。
兵事をやめて農業につとめる。また、武士が帰農すること。剣を売り牛を買う。〈故事俗信ことわざ大辞典〉
★「犢」は、子牛。
＊『漢書-循吏伝･龔遂』",トク
I2219,【リンユ】の独覚,◆５,麟喩,,"👉りんゆのどっかく。
ひとりで出家し、ひとりで悟りをひらく修行者。〈故事俗信ことわざ大辞典〉
★「独覚」は、仏の力によらずひとりで悟りをひらき、利他の説法をしない者。
★角(ﾂﾉ)が一本の麒麟(ｷﾘﾝ)にたとえられる独覚の意。
＊『愚禿鈔-上』",リンユ
I2220,鳳凰【トン】に家鴨と変ず,◆５,頓,,"👉ほうおうとんにあひるとへんず。
すぐれた人物が急にくだらない人間になりさがることのたとえ。〈故事俗信ことわざ大辞典〉
★「頓に」は、急に。
★鳳凰が急にアヒルに変わる意。
＊『読本･綟手摺昔木偶-二･四』",トン
I2221,一杯の水を以て【シャシン】の火は救い難し,◆５,車薪,,"👉いっぱいのみずをもってしゃしんのひはすくいがたし。
小をもって大に当たることはできない。〈故事俗信ことわざ大辞典〉
★さかずき一杯の水では車一台分の薪の火は消すことができない意。
＊『孟子-告子･上』",シャシン
I2222,賢に任ずるに【ニ】する勿れ,◆５,弐,,"👉けんににんずるににするなかれ。
賢人を採用し政務につかせるからには、君主は一切をまかせて信頼し、疑ってはならない。〈故事俗信ことわざ大辞典〉
★「弐する」は、疑う。
＊『書経-大禹謨』",ニ
I2223,物の【セイキ】は、亦た自ら定数あり,◆５,成毀,,"👉もののせいきは、またおのずからじょうすうあり。
仕事の成功するか、失敗するかは、おのずから定まった運命であるから、事の成否をいちいち考えているのでは行動などできるものではない。〈中国古典名言事典〉
＊『宋名臣言行録-韓琦』",セイキ
I2224,【リョウシュウ】能く舞う,◆５,綾袖,,"👉りょうしゅうよくまう。
条件がよいと、事を成すのに有利であることのたとえ。長袖(ﾁｮｳｼｭｳ)よく舞い多銭よく商う。〈故事俗信ことわざ大辞典〉
★綾絹の舞衣で舞うと、同じ舞でもいっそう立派にひきたって見える意。
＊『譬喩尽-三』",リョウシュウ
I2225,【ヨウコウ】の波,◆５,陽侯,,"👉ようこうのなみ。
海神の起こす波。海の波をいう。〈故事俗信ことわざ大辞典〉
★「陽侯」は、中国陵陽国の君主。おぼれ死んで海神となり、大波を起こしては被害を与えたという。
＊『淮南子-覧冥訓』",ヨウコウ
I2226,【ソシュ】事を破る,◆５,鼠首,,"👉そしゅことをやぶる。
決断力がないために事を仕損じる。鼠が穴から首を出したりひっこめたりするように、事に臨んで疑い深く、行動が定まらないため、失敗を招くことをいう。〈故事俗信ことわざ大辞典〉
＊『故事成語考-上･身体』",ソシュ
I2227,【イットウ】の外、皆他人の家なり,◆５,一榻,,"👉いっとうのほか、みなたにんのいえなり。
自分の寝台のほかは、みな他人の家同様である。不安で眠れない。宋はなお多くの国に取り囲まれているからだ。〈中国古典名言事典〉
＊『十八史略-宋･太祖』",イットウ
I2228,【サクバイ】がつかぬ,◆５,策媒,策配,"👉さくばいがつかぬ。
都合がつかない。始末におえない。〈故事俗信ことわざ大辞典〉
★「策媒」は、始末、処理。
＊『山口県柳井町方言集』",サクバイ
I2229,【ショウカ】の官,◆５,燮和,,"👉しょうかのかん。
宰相の異称。〈日本国語大辞典〉
★「燮和」は、やわらげ治めること。陰陽などを調和させること。燮理。
＊不明",ショウカ
I2230,【イハク】修まらず,◆５,帷薄,,"👉いはくおさまらず。
男女の関係、風紀が乱れていること。帷幕(ｲﾊﾞｸ)修まらず。〈故事俗信ことわざ大辞典〉
★「帷薄」は、室内の仕切りとするたれぎぬ、すだれ。転じて、閨房。
＊『漢書-賈誼伝』",イハク
I2231,蟷螂が斧を怒らせて【リュウシャ】に向かう,◆５,隆車,,"👉とうろうがおのをいからせてりゅうしゃにむかう。
弱者が、自分の力をわきまえず、強者に刃向かう。無謀で、身のほどをわきまえない行ないをすることのたとえ。〈故事俗信ことわざ大辞典〉
★「隆車」は、高くて大きな車。
★カマキリが、前脚をふりあげて大きな車に立ち向かう意。
＊『陳琳-為袁紹檄予州』",リュウシャ
I2232,涙【キコツ】を絞る,◆５,肌骨,,"👉なみだきこつをしぼる。
くやしさや感動で涙があふれ出る。また、全身で感情を表わすことのたとえ。〈故事俗信ことわざ大辞典〉
★「肌骨」は、肌と骨、また、全身。
＊『浄瑠璃･信州川中島合戦-三』",キコツ
I2233,【メンバン】たる黄鳥丘隅に止まる,◆５,綿蛮,,"👉めんばんたるこうちょうきゅうぐうにとどまる。
人間でありながらとどまる所を知らなければ鳥にさえ劣る。人はとどまる所を知るべきというたとえ。〈故事俗信ことわざ大辞典〉
★「綿蛮」は、小鳥のさえずる声。
★「黄鳥」は、うぐいすの別称。
★美しい声で鳴く鶯は、最もそれにふさわしい丘の隅にとまっている意。
＊『詩経-小雅･緜蛮』",メンバン
I2234,竜蟠【ホウイツ】の士,◆５,鳳逸,,"👉りゅうばんほういつのし。
非凡な才能を持ちながらまだ世に用いられず、民間にいる者。〈故事俗信ことわざ大辞典〉
★「鳳逸」は、鳳(ｵｵﾄﾘ)が世に知られないでいること。
＊『李白-与韓荊州書』",ホウイツ
I2235,【ロウカイ】悲しむ,◆５,老槐,,"👉ろうかいかなしむ。
年を経た槐(ｴﾝｼﾞｭ)の木が老いを悲しむ。槐の古木には霊があるとしていう。〈故事俗信ことわざ大辞典〉
＊『叢書本謡曲･鼓滝』",ロウカイ
I2236,【フシツ】に伏す,◆５,斧質,,"👉ふしつにふす。
斬刑に処せられる。〈故事俗信ことわざ大辞典〉
★「質」は、人を斬る時の台。
＊『史記-廉頗藺相如伝』",フシツ
I2237,【ホウロウ】には松柏無し,◆５,部婁,,"👉ほうろうにはしょうはくなし。
偉大な人物は、自分にふさわしくないつまらない場所にはいないというたとえ。〈故事俗信ことわざ大辞典〉
★「部婁」は、小さな丘。
★小さな丘には松や柏(ｶｼﾜ)のような大木は育たない意。
＊『春秋左伝-襄公二四年』",ホウロウ
I2238,【リョウサン】舞うが如し,◆５,両驂,,"👉りょうさんまうがごとし。
馬車の統御の巧みさのたとえ。〈故事俗信ことわざ大辞典〉
★「驂」は、副馬(ｿｴｳﾏ)。四頭立ての外側の二頭をいう。
＊『詩経-鄭風･大叔于田』",リョウサン
I2239,【フッキュウ】の涙,◆５,副急,,"👉ふっきゅうのなみだ。
まにあわせの涙。そら涙。〈故事俗信ことわざ大辞典〉
★「副急」は、急場の間に合わせにすること。
＊『宋書-劉懐慎伝』",フッキュウ
I2240,孤児寡婦を欺き、【コビ】して以て天下を取るに効わず,◆５,狐媚,,"👉こじかふをあざむき、こびしてもっててんかをとるにならわず。
孤児や寡婦などの力のない人を欺いて、天下を取るようなことはやらない。草孟徳(ｿｳﾓｳﾄｸ)や司馬仲達(ｼﾊﾞﾁｭｳﾀﾂ)がやったような真似はしない。石勒(ｾｷﾛｸ)のことば。〈中国古典名言事典〉
★「狐媚」は、狐が媚態を呈して人を欺くこと。
＊『十八史略-東晋･成帝』",コビ
I2241,袖は【シンミョウ】の半仕事,◆５,針妙,,"👉そではしんみょうのはんしごと。
袖が縫えれば、針仕事は半分できたようなものである。和裁で袖を縫うことのむずかしさをいう。〈故事俗信ことわざ大辞典〉
★「針妙」は、宮中、寺院、一般の家庭などで裁縫を担当する女。裁縫専門の奉公人をいう。
＊『俚言集覧』",シンミョウ
I2242,諸悪【マクサ】諸善奉行,◆５,莫作,,"👉しょあくまくさしょぜんぶぎょう。
諸悪をなしてはいけない、善行を積まねばならぬという仏教の教え。七仏通誡の偈の初めの句。〈故事俗信ことわざ大辞典〉
★「莫作」は、作(ﾅ)す莫(ﾅ)かれ。
★「諸善」は、さまざまの善。
★「奉行」は、仏の教えを実践すること。
＊『出曜経-二五』",マクサ
I2243,【シンマク】に負えぬ,◆５,慎莫,身莫,"👉しんまくにおえぬ。
始末に困る。手のつけようがない。どうしようもない。〈故事俗信ことわざ大辞典〉
★「慎莫」は、身莫とも書き、物事の処置をきちんとすること。
＊『雑俳･柳多留-二一』",シンマク
I2244,【セイロ】の学,◆５,斉魯,,"👉せいろのがく。
孔孟の学。儒学。〈故事俗信ことわざ大辞典〉
★「斉魯」は、中国春秋時代の斉の国と魯の国。
＊『懐風藻-序』",セイロ
I2245,【ホウコウ】が笑み,◆５,包公,,"👉ほうこうがえみ。
非常にまれなことのたとえ。〈故事俗信ことわざ大辞典〉
★「包公」は、中国、宋代、剛毅清廉で知られた合肥の人、包拯(ﾎｳｼｮｳ)のこと。包拯は端厳で笑わなかったので、包拯の笑うのを黄河の流れが澄むことにたとえたという故事による。
★めったに人が見ることのできない笑いの意。
＊『宋史-包拯伝』",ホウコウ
I2246,【ヨウホウ】黄雀の病を扶く,◆５,楊宝,,"👉ようほうこうじゃくのやまいをたすく。
生前の功徳によって、子々孫々までその報いを受ける。〈故事俗信ことわざ大辞典〉
★後漢の楊宝が九歳のときに、フクロウにおそわれたスズメの子を助けてやったことにより、子孫が代々高位に昇る応報を受けたという故事から。
＊『蒙求-楊宝黄雀』",ヨウホウ
I2247,【ヨウシ】が功を先とす,◆５,雍歯,,"👉ようしがこうをさきとす。
最もきらう者を先にとりたてることで、人心掌握を計ること。〈故事俗信ことわざ大辞典〉
★漢の高祖は賢臣張良の進言によって、ふだん群臣中最も憎んでいた雍歯をまず諸侯に封じ、雍歯でさえ誅されず取り立てられたのだからということで恩賞にあずからず不満を抱いていた諸将を安心させたという故事による。
＊『史記-留侯世家』",ヨウシ
I2248,【ヨウシン】の四知,◆５,楊震,,"👉ようしんのしち。
秘密はもれやすく、誰も知らないと思っていても案外知っている者がある。天知る地知る我知る人知る。〈故事俗信ことわざ大辞典〉
★中国、後漢の楊震が役人をしていたとき、誰も知らないからといって彼に贈賄しようとした人に対して、天･地･自分･あなたの四者が知っていると言って断ったという故事から。
＊『後漢書-楊震伝』",ヨウシン
I2249,【ホウレイ】の浜には魚を以て犬に食らわしむ,◆５,彭蠡,,"👉ほうれいのひんにはうおをもっていぬにくらわしむ。
供給が多いと貴重な品も粗末にあつかわれることのたとえ。〈故事俗信ことわざ大辞典〉
★「彭蠡」は、中国江西省北部にある鄱陽湖(ﾊﾖｳｺ)の異称。
★彭蠡のほとりでは魚が多く捕れるので、犬にまで魚を食べさせる意。
＊『童観鈔』",ホウレイ
I2250,【ホウウ】の嗟き,◆５,鴇羽,,"👉ほううのなげき。
人民が戦争にかり出されて父母を養うことのできないなげき。〈故事俗信ことわざ大辞典〉
★「鴇羽」は、野雁(ﾔｶﾞﾝ)の羽。
★水辺にすむ野雁が所を得ないで山辺の枝に羽を休めて止まっているという詩による。
＊『詩経-唐風･鴇羽』",ホウウ
I2251,斥鴳（せきあん）が【ホウ】を笑う,◆５,鵬,,"👉せきあんがほうをわらう。
わずかな高さに飛ぶことで満足している小鳥が、大空高く飛ぶおおとりを笑う。低い理想に安んじている者には大きな望みをもつことが理解できないというたとえ。〈故事俗信ことわざ大辞典〉
★「斥鴳」は、小鳥。鶉(ｳｽﾞﾗ)に似るとされる。
★「鵬」は、想像上の巨大な鳥。
★鵬が高く舞い上がるのを見て、斥鴳があざ笑い、「あいつはどこへ行くのか」と言ったという寓話による。
＊『荘子-逍遙遊』",ホウ
I2252,【ボウリ】閑を偸む,◆５,忙裏,,"👉ぼうりかんをぬすむ。
忙しい中でもひまを見つけて楽しむ。忙中自ずから閑あり。〈故事俗信ことわざ大辞典〉
＊『黄庭堅-和答趙令同前韻詩』",ボウリ
I2253,【チョウサイボウ】にする,◆５,嘲斎坊,,"👉ちょうさいぼうにする。
なぶりものにする。ばかにする。〈故事俗信ことわざ大辞典〉
★「嘲斎坊」は、なぶりものにされる人。ばかにされる者。
＊『歌舞伎･桑名屋徳蔵入船物語-口明』",チョウサイボウ
I2254,【ランボウ】の取り残し,◆５,濫妨,乱妨,"👉らんぼうのとりのこし。
暴力で無法に奪いとられたあとの残り。掠奪されたあとでも、被害をまぬがれたものがいくらかは残っているものだ。〈故事俗信ことわざ大辞典〉
★「濫妨･乱妨」は、暴力を用いて無法に掠(ｶｽ)めとること。
＊『俳諧･世話尽-曳言之話』",ランボウ
I2255,【ボウ】を煮て珠の爛るるを知らず,◆５,蚌,,"👉ぼうをにてたまのただるるをしらず。
方法・手段をまちがえて、貴重なものをだめにすることのたとえ。〈故事俗信ことわざ大辞典〉
★「蚌」は、どぶ貝のことで、中に真珠を産することがある。
★どぶ貝を煮て真珠をだめにしてしまうことを知らない意。
＊『読本･旬殿実々記-一〇･一二下末』",ボウ
I2256,【ボウウン】の情,◆５,望雲,,"👉ぼううんのじょう。
遠く離れた父母を思う心。〈故事俗信ことわざ大辞典〉
★「望雲」は、遠く雲をのぞみ見ること。
★唐の狄仁傑(ﾃｷｼﾞﾝｹﾂ)が、父母と離れて遠く任地に赴いて、山に登ったとき、一片の雲の漂うのを見て、遠く離れた父母をなつかしみ、しばらくたたずんでいたというの故事による。
＊『旧唐書-狄仁傑伝』",ボウウン
I2257,【ボウヨウ】の嘆,◆５,望洋,,"👉ぼうようのたん。
深遠な思想や学問に対して、自分の力の及ばないのをなげくこと。〈故事俗信ことわざ大辞典〉
★あまりに広大で目当てがつかないというなげきの意。
＊『学問のすゝめ〈福沢諭吉〉五･明治七年一月一日の詞』",ボウヨウ
I2258,一棒一条痕【イッカク】一掌血,◆５,一摑,一掴,"👉いちぼういちじょうこんいっかくいっしょうけつ。
精神の集中をたとえた禅語。〈故事俗信ことわざ大辞典〉
★打てば傷がつき、つかめば血が出るほどに性根を入れて行なう意。
＊『俚言集覧（増補）』",イッカク
I2259,人を取るに【ボウ】を以てす,◆５,貌,,"👉ひとをとるにぼうをもってす。
人を採用するときに、外見にごまかされて、実質を見定めずに判断すること。〈故事俗信ことわざ大辞典〉
★人物を登用するときに容貌の美醜だけを見て採用することの意。
＊『史記-仲尼弟子伝』",ボウ
I2260,【エンヨク】の謀,◆５,燕翼,,"👉えんよくのはかりごと。
祖先が子孫のために残した良いはかりごと、手段。また、賢臣が君主をよく補佐して示す政策。〈故事俗信ことわざ大辞典〉
★「燕」は、安んずる
★「翼」は、助ける。
＊『詩経-大雅･文王有声』",エンヨク
I2261,蓼虫【キサイ】に徙るを知らず,◆５,葵菜,,"👉りょうちゅうきさいにうつるをしらず。
それぞれ自分の好みに従って、他へ心を移さないことのたとえ。蓼(ﾀﾃﾞ)の虫(ﾑｼ)葵(ｱｵｲ)に移らず。〈故事俗信ことわざ大辞典〉
＊『楚辞-七諫･怨世』",キサイ
I2262,河、角を射れば夜作に堪え、【リセイ】没すれば水骨を生ず,◆５,犁星,,"👉か、かくをいればやさくにたえ、りせいぼっすればみずほねをしょうず。
天の川が角宿にかかれば夜なべの季節であり、犁星が没するころになると水がこおる季節である。〈故事俗信ことわざ大辞典〉
★「河」は、天の川。
★「角」は、東方に位置する角宿(ｽﾎﾞｼ＝二十八宿の一つ。乙女座の首星スピカなどからなる星宿）。
★「犁星」は、からすきぼし。オリオン座の中央部に三つ並んでいる星。
＊『古詩紀-前集一〇』",リセイ
I2263,牛溲馬勃【ハイコ】の皮,◆５,敗鼓,,"👉ぎゅうしゅうばぼつはいこのかわ。
価値の無いもの、役に立たないもののたとえ。〈故事俗信ことわざ大辞典〉
★「牛溲」は、牛の小便。
★「馬勃」は、馬の糞。
★「敗鼓」は、破れた太鼓。
＊『韓愈-進学解』",ハイコ
I2264,鉄桶を【ホントウ】す,◆５,翻倒,飜倒,"👉てっとうをほんとうす。
がんこな煩悩を抜け出て悟りをひらくこと。〈故事俗信ことわざ大辞典〉
＊不明",ホントウ
I2265,【ソウマ】の交,◆５,桑麻,,"👉そうまのこう。
桑や麻の作柄などを話しあうつきあい。農民どうしの田園の交際。政治や公務などのわずらわしい話をしない気楽な交際。〈故事俗信ことわざ大辞典〉
＊『杜甫-寄薛三郎中』",ソウマ
I2266,鴛鴦【シュウリョウ】して君の看るに従（まか）す,◆５,繡了,繍了,"👉えんおうしゅうりょうしてきみのみるにまかす。
自分の秘訣を人に知られるのをきらい、出し惜しみすること。〈故事俗信ことわざ大辞典〉
＊『元好問-論詩三首･其三』",シュウリョウ
I2267,【イラン】は未練の相,◆５,違乱,,"👉いらんはみれんのそう。
約束をたがえるのは優柔不断の証拠である。〈故事俗信ことわざ大辞典〉
＊『北条氏直時分諺留』",イラン
I2268,【コウケツ】未だ乾かず,◆５,口血,,"👉こうけついまだかわかず。
約束を結んでからまだ間がない。〈故事俗信ことわざ大辞典〉
★「口血」は、中国で、諸侯が盟約を結ぶ時に牛の耳から取ってすする血。
★盟約を結んだ時の血がまだ乾かない意。
＊『春秋左伝-襄公九年』",コウケツ
I2269,【リョウド】未だ乾かず,◆５,陵土,,"👉りょうどいまだかわかず。
天子の死後、間もないことをいう。〈故事俗信ことわざ大辞典〉
★「陵土」は、天子･天皇の墓所の土。
★天子の墓の土がまだ乾かない意。
＊『任昉-為斉明帝譲宣城郡公第一表』",リョウド
I2270,【タイコウ】は和せずして遺味あり,◆５,大羹,,"👉たいこうはかせずしていみあり。
宗廟の大礼に供える肉の汁には調味料を用いず、簡素な味のままとするが、これは、人民に口腹の欲、好悪の情を極めさせず、人道の中正を教えようとした先王のしきたりのしのばれる味である。〈故事俗信ことわざ大辞典〉
＊『礼記-楽記』",タイコウ
I2271,比近説ばざれば【シュウエン】を務むる無かれ,◆５,修遠,,"👉ひきんよろこばざればしゅうえんをつとむるなかれ。
近くの者と親しむのがたいせつである。根本にかえって身近なものを大事にすべきである。〈故事俗信ことわざ大辞典〉
★「比近」は、近隣、近所。
★近隣の者が喜ばないようであれば、遠くの者と交際をしないほうがよい意。
＊『説苑-建本』",シュウエン
I2272,【ヒキン】説ばざれば修遠を務むる無かれ,◆５,比近,,"👉ひきんよろこばざればしゅうえんをつとむるなかれ。
近くの者と親しむのがたいせつである。根本にかえって身近なものを大事にすべきである。〈故事俗信ことわざ大辞典〉
★「比近」は、近隣、近所。
★近隣の者が喜ばないようであれば、遠くの者と交際をしないほうがよい意。
＊『説苑-建本』",ヒキン
I2273,【ムルイ】の人,◆５,無累,,"👉むるいのひと。
わずらいのない人。物欲を超越した人。〈故事俗信ことわざ大辞典〉
＊『淮南子-精神訓』",ムルイ
I2274,目、鏡を失えば以て【シュビ】を正すこと無し,◆５,鬚眉,,"👉め、かがみをうしなえばもってしゅびをただすことなし。
人は常に道を鏡として己の身を正すべきであるというたとえ。〈故事俗信ことわざ大辞典〉
＊『韓非子-観行』",シュビ
I2275,【ラッシ】も無い,◆５,﨟次,"臈次
臘次","👉らっしもない。
1.秩序がない。順序、次第が整っていない。乱雑である。だらしがない。らちもない
2.つまらない。役にも立たない。〈故事俗信ことわざ大辞典〉
★「﨟次･臘次」は、法﨟(ﾎｳﾛｳ:僧尼の出家受戒後の年数)の順序。出家後の年数。また、物事の正しい順序。次第。
＊『寛永刊本蒙求抄-一〇』",ラッシ
I2276,陰行あれば【ショウメイ】あり,◆５,昭名,,"👉いんこうあればしょうめいあり。
隠れた善行のある者は、必ずいつかは輝く名誉が与えられる。陰徳あれば陽報あり。〈故事俗信ことわざ大辞典〉
＊『淮南子-人間訓』",ショウメイ
I2277,【キュウツウ】各命有り,◆５,窮通,,"👉きゅうつうおのおのめいあり。
人が困窮するのも、富み栄えるのも、人それぞれの定まった運命によるものである。〈故事俗信ことわざ大辞典〉
★「窮通」は、困窮と栄達。
＊『白居易-諭友詩』",キュウツウ
I2278,【サメイ】の士,◆５,佐命,,"👉さめいのし。
天命により天子となる人を助けて、天下の平定に功績のあった功臣。〈故事俗信ことわざ大辞典〉
★「佐」は、助ける。
★「命」は、天命を受けた天子の位。
＊『後漢書-馬武伝論』",サメイ
I2279,【リロウ】が明,◆５,離婁,,"👉りろうがめい。
視力･眼力のすぐれていること。〈故事俗信ことわざ大辞典〉
★離婁(離朱の異称)のすぐれた視力の意。
＊『孟子-離婁･上』",リロウ
I2280,【メンショウ】の譏り,◆５,面牆,面墻,"👉めんしょうのそしり。
無学のそしり。学問や知識がないという批判。〈故事俗信ことわざ大辞典〉
★「面牆」は、垣に対すること。見聞のせまいことのたとえ。垣に対すると前の方が見えないところからいう。
＊不明",メンショウ
I2281,博奕博労掏摸【ガンドウ】,◆５,強盗,,"👉ばくちばくろうすりがんどう。
悪い遊び、荒っぽい商売、不正なかせぎをするものを並べたことば。〈故事俗信ことわざ大辞典〉
★「博奕」は、金品を賭(ｶ)けて、さいころや花札などの勝負をすること。とばく。
★「博労」は、馬を売買･周旋する人。
★「掏摸」は、人ごみなどで人が身につけている金品を、本人に気づかれずに抜き取ること。また、その者。巾着(ｷﾝﾁｬｸ)切り。
★「強盗」は、強盗(ｺﾞｳﾄｳ)に同じ。
＊『諺語大辞典』",ガンドウ
I2282,猛勢【セッショ】なし,◆５,節所,"切所
殺所","👉もうぜいせっしょなし。
勇猛な軍勢の前では、どんな要害でも防ぐことができない。大軍に関所なし。〈故事俗信ことわざ大辞典〉
★「節所･切所･殺所」は、峠などの要害。
＊『柴田退治記』",セッショ
I2283,遠人に【ジボク】なし,◆５,耳目,,"👉えんじんにじぼくなし。
遠方の人物の顔には目、鼻、口、耳など細かい点は描き入れないのが画法である。〈故事俗信ことわざ大辞典〉
＊『譬喩尽-二』",ジボク
I2284,【シュクジュウ】に目の潰るる,◆５,宿執,,"👉しゅくじゅうにめのつぶるる。
前世で悪いことをしたために目が潰れる。〈故事俗信ことわざ大辞典〉
★「宿執」は、前世からの因縁。
＊『雲形本狂言･川上』",シュクジュウ
I2285,慢蔵は盗を誨え、【ヤヨウ】は淫を誨う,◆５,冶容,,"👉まんぞうはとうをおしえ、やようはいんをおしう。
倉庫の戸締まりをおろそかにすることは人に盗んでくれというようなものであり、女がなまめかしく化粧するのは人に淫らな心を起こさせるようそそのかしているようなものだ。〈故事俗信ことわざ大辞典〉
＊『易経-繫辞･上』",ヤヨウ
I2286,【マンゾウ】は盗を誨え、冶容は淫を誨う,◆５,慢蔵,,"👉まんぞうはとうをおしえ、やようはいんをおしう。
倉庫の戸締まりをおろそかにすることは人に盗んでくれというようなものであり、女がなまめかしく化粧するのは人に淫らな心を起こさせるようそそのかしているようなものだ。〈故事俗信ことわざ大辞典〉
＊『易経-繫辞･上』",マンゾウ
I2287,【チョウシボウ】の夜の聞き,◆５,暢師坊,,"👉ちょうしぼうのよるのきき。
谷川の瀬音を夜の静けさの中で聞くこと。〈故事俗信ことわざ大辞典〉
★「暢師坊」は、白居易の詩に見える香山寺の長老文暢(ﾌﾞﾝﾁｮｳ)の宿坊。
＊『東関紀行-車返より湯本』",チョウシボウ
I2288,【クンシンサシ】の薬,◆５,君臣佐使,,"👉くんしんさしのくすり。
昔、使い方から薬を類別した名称。薬効のゆるやかな「君」を主薬とし、「臣佐使」の三つを病状に応じて用いる補助薬とする。〈故事俗信ことわざ大辞典〉
＊『夢渓筆談-薬議』",クンシンサシ
I2289,【ゴコ】に薬を売る,◆５,五湖,,"👉ごこにくすりをうる。
官を辞して野にくだり、名声、欲望を捨てて静かな暮らしをすること。〈故事俗信ことわざ大辞典〉
★「五湖」は、中国古代の五つの湖。太湖または洞庭湖を五つに区切った呼び名とも、あるいは付近の湖を含めて呼んだともいわれる。
★昔、漢の東方朔が乱世を避けて官を辞し、五湖のほとりで薬を売ったという故事が転じたもの。
＊『列仙伝-東方朔』",ゴコ
I2290,心腹を【ユシャ】す,◆５,輸写,,"👉しんぷくをゆしゃす。
心中をすべて打ち明けて示す。まごころを示す。〈故事俗信ことわざ大辞典〉
★「輸写」は、心の中を残りなく言い表わすこと。
＊『漢書-趙広漢伝』",ユシャ
I2291,【ホウガイ】の友,◆５,方外,,"👉ほうがいのとも。
世間一般のつきあいを越えた心からの友。お互いの住む環境や立場、主義などを越えた、深いつながりのある友。〈故事俗信ことわざ大辞典〉
＊『冷斎夜話-日延一僧対飯』",ホウガイ
I2292,緑陰幽草、【カジ】に勝る,◆５,花時,花時,"👉りょくいんゆうそう、かじにまさる。
夏の涼しい緑の木陰と人気のないところにはえる草は、春の花の景色よりまさっている。〈故事俗信ことわざ大辞典〉
＊『王安石-初夏即事詩』",カジ
I2293,【ユウカ】に死す,◆５,牖下,,"👉ゆうかにしす。
自分の家で安らかに死ぬことをいう。畳の上で往生する。〈故事俗信ことわざ大辞典〉
★「牖」は、窓。
★窓の下で死ぬ意。
＊『春秋左伝-哀公二年』",ユウカ
