ID,問題,指定,語群,難易度,解答,問題熟語の意味,解答熟語の意味
H0802,【帰去来】,⇔,"かんゆう
じゅんしゃく
おうせき",◆３,"宦遊
官遊","▼【帰去来】キキョライ
官職をやめて故郷に戻るために、その地を去ること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔宦遊／官遊〕カンユウ
1.役人になって他郷に行くこと。
2.仕官のため、郷里を遠く離れること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0803,【脚註】,⇔,"びてい
だいせん
ごうとう",◆３,鼇頭,"▼【脚註／脚注】キャクチュウ
書物の本文の下につけられた注釈。⇔頭注〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔鼇頭〕ゴウトウ
1.書物の本文の上にある余白。また、そこにつけた注釈。
2.中国で、科挙に主席で合格した者。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0804,【久闊】,⇔,"ろうそ
おんこう
かくでん",◆３,音耗,"▼【久闊】キュウカツ
長い間会わないこと。久しく便りをしないこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔音耗〕オンコウ
便りをして安否を知らせること。消息。音信。〈日本国語大辞典〉
◇漢字ペディア小見出し"
H0805,【巨船】,⇔,"まんかんしょく
いちい
しんばつ",◆３,一葦,"▼【巨船】キョセン
大きな船。大船。巨艘。〈日本国語大辞典〉","▼〔一葦〕イチイ
小舟のたとえ。一艘の小舟。〈漢字ペディア〉
★「葦」は植物のアシで、一枚の葦の葉、また葦一束の意から。
◇漢字ペディア大見出し"
H0806,【玉響】,⇔,"はくせき
ぎょもく
こうごう",◆３,"曠劫
広劫
昿劫","▼【玉響】たまゆら
ほんの少しの間。一瞬。〈漢字ペディア〉
★玉が触れ合うかすかな音の意から。
◇漢字ペディア大見出し","▼〔曠劫／広劫〕コウゴウ
(仏)非常に長い時間であること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0807,【啓明】,⇔,"ちょうこう
こひつ
かんこう",◆３,長庚,"▼【啓明】ケイメイ
1.明け方の金星をさす。明けの明星。
2.教え明らかにすること。〈日本国語大辞典〉
◇漢字ペディア小見出し","▼〔長庚〕チョウコウ／ゆうずつ
宵の明星。日が沈んだあとに西の空に見える金星。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0808,【皇天】,⇔,"こうど
ひゃくさい
そうびん",◆３,后土,"▼【皇天】コウテン
1.天を主宰する神。天。天帝。上帝。
2.天皇。天子。皇室。〈日本国語大辞典〉
★「皇」は、天を尊ぶ意。","▼〔后土〕コウド
土地の神。国つ神。また、土地のこと。〈日本国語大辞典〉"
H0809,【膏粱】,⇔,"せいぶ
こはん
それい",◆３,"粗糲
麤糲
麁糲
疎糲
疏糲
蔬糲","▼【膏粱】コウリョウ
1.脂ののった肉とよい穀物。転じて、おいしい食べ物。
2.身分の高いこと。また、そのような人や家柄。〈日本国語大辞典〉","▼〔粗糲／麤糲／疎糲／疏糲／蔬糲〕ソレイ
1.精白していない玄米。
2.そまつな食べ物。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0810,【膏腴】,⇔,"こうはく
ろもう
かいでん",◆３,磽薄,"▼【膏腴】コウユ
地味が豊かで肥えていること。また、その土地。≒膏沃、肥沃〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔磽薄〕コウハク
┌地味のやせていること。また、そのさまや、その土地。〈日本国語大辞典〉
┌石が多く、やせた土地。≒磽瘠〈漢字源〉
┌やせたる土地。〈字源〉
◇漢字ペディア小見出し"
H0811,【催花雨】,⇔,"ていこく
しょうまきょう
しゅうりん",◆３,秋霖,"▼【催花雨】サイカウ
春の雨。はるさめ。〈漢字ペディア〉
★花の咲くのをうながすように降る雨の意から。
◇漢字ペディア大見出し","▼〔秋霖〕シュウリン
秋の長雨。停滞前線の影響で降る梅雨に似た雨。秋雨(ｱｲｻﾒ)。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0812,【罪咎】,⇔,"ほぶ
じょし
こうばつ",◆３,"功伐
功閥","▼【罪咎】ザイキュウ
つみとが。罪科。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔功伐／功閥〕コウバツ
手柄。功績。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0813,【散華】,⇔,"せいは
えいまん
せんぜん",◆３,甎全,"▼【散華】サンゲ
1.(仏)花をまいて仏を供養すること。特に、法会の儀式で、ハスの花びらをかたどった紙をまくこと。
2.いさぎよい戦死。〈漢字ペディア〉
★花のように散る意。
◇漢字ペディア大見出し","▼〔甎全〕センゼン
世に尽くすこともなく、いたずらに生き長らえること。≒瓦全〈漢字ペディア〉
◇漢字ペディア大見出し"
H0814,【指弾】,⇔,"せいゆう
けんしゃ
かしょう",◆３,嘉尚,"▼【指弾】シダン
指さして糾弾すること。転じて、非難すること。〈日本国語大辞典〉
◇漢字ペディア大見出し","▼〔嘉尚〕カショウ
ほめたたえること。賞賛すること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0815,【斯須】,⇔,"せきてん
じんでんごう
じしょ",◆３,塵点劫,"▼【斯須】シシュ
しばらくの間。暫時。須臾。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔塵点劫〕ジンデンゴウ
(仏)はかりきれないほどの非常に長い時間。塵劫(ｼﾞﾝｺｳ)。≒永劫(ｴｲｺﾞｳ)〈漢字ペディア〉
◇漢字ペディア大見出し"
H0816,【終焉】,⇔,"ふうさい
ついりん
ようだん",◆３,椎輪,"▼【終焉】シュウエン
1.死にぎわ。臨終。転じて、物事の終わり。
2.身の落ち着く所。晩年を静かに過ごすこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔椎輪〕ツイリン
1.丸太を輪切りにした質素な古代の車。
2.物事のはじめの段階。転じて、素朴で飾り気のないもののたとえ。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0817,【初旬】,⇔,"げかん
きゅうろう
しょうしん",◆３,"下澣
下浣","▼【初旬】ショジュン
一か月を十日ごとに三つに分けた初めの十日間。上旬。〈日本国語大辞典〉
◇漢字ペディア小見出し","▼〔下澣／下浣〕ゲカン／カカン
毎月の二一日以後月末まで。下旬。かかん。〈日本国語大辞典〉
★「澣」「浣」ともにすすぐという意。中国の唐の制度で、月のうち、十日ごとに官吏に休暇を与え、自宅で入浴させたところから十日を単位として「澣（浣）」という。
◇漢字ペディア下付き"
H0818,【小胆】,⇔,"ゆうひ
いんぷ
いっせき",◆３,熊羆,"▼【小胆】ショウタン
胆力の小さいこと。度量のせまいこと。また、そのさま。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔熊羆〕ユウヒ
1.熊(ｸﾏ)と羆(ﾋｸﾞﾏ)。
2.転じて、勇気あるもののたとえ。〈日本国語大辞典〉
◇漢字ペディア小見出し"
H0819,【親炙】,⇔,"しょきゅう
ようしょう
ししゅく",◆３,私淑,"▼【親炙】シンシャ／シンセキ
その人に親しく接して影響を受け、感化されること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔私淑〕シシュク
ひそかにある人を先生として尊敬し、その言行を慕い学ぶこと。〈漢字ペディア〉
★私(ﾋｿ)かに淑(ﾖ)しとする意。
◇漢字ペディア大見出し"
H0820,【正史】,⇔,"とくそう
やじょう
とうこ",◆３,野乗,"▼【正史】セイシ
1.国家や政府が編纂(ﾍﾝｻﾝ)した歴史。または、その書。⇔野史、外史
2.中国の紀伝体による歴史書。⇔稗史(ﾊｲｼ)〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔野乗〕ヤジョウ
民間で編纂した歴史。私撰の歴史。野史。〈日本国語大辞典〉
◇漢字ペディア下付き"
H0821,【粗率】,⇔,"じょち
とうき
めんばん",◆３,舒遅,"▼【粗率／疎率／麤率】ソソツ
あらくて飾りけがないこと。大ざっぱでそそっかしいこと。また、そのさま。〈日本国語大辞典〉","▼〔舒遅〕ジョチ
ゆったりとして、みやびやかなこと。おっとりとしていること。〈日本国語大辞典〉
◇漢字ペディア下付き"
H0822,【草萊】,⇔,"とうご
かか
てんたく",◆３,"華夏
花夏","▼【草萊】ソウライ
1.雑草の生い茂った草むら。荒れ果てた土地。
2.地方。いなか。〈漢字ペディア〉
★萊は荒れ地の意。
◇漢字ペディア大見出し","▼〔華夏／花夏〕カカ
1.中国人が自国である中国を誇っていう語。
2.文化、文明の中心地。都。〈日本国語大辞典〉
★華は華やか、夏は大の意。
◇漢字ペディア下付き"
H0823,【達官】,⇔,"ひしゅ
しきび
しょり",◆３,胥吏,"▼【達官】タッカン
重い官職。高い位。高位。高官。〈日本国語大辞典〉
★名が上(ｶﾐ)に達する官の意。","▼〔胥吏〕ショリ
1.役所の小役人。
2.中国、宋(ｿｳ)代以降、役所の長によって採用された下役人。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0824,【致仕】,⇔,"れいそく
かんろく
ふこ",◆３,"干禄
干祿","▼【致仕／致事】チシ／チジ
1.官職を辞任すること。
2.七十歳の異称。昔、中国では七十歳で官職を辞任したことから。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔干禄〕カンロク
1.禄（武士の給与）を求めること。仕官を望むこと。
2.天からの福を求めること。天の恵みを願うこと。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0825,【蓄財】,⇔,"しょうきん
げきろう
りゅうえい",◆３,銷金,"▼【蓄財】チクザイ
金銭や財産をためること。また、そのためたもの。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔銷金〕ショウキン
1.金属をとかすこと。また、とかした金属。
2.金箔(ｷﾝﾊﾟｸ)を散らして飾ること。
2.金銭を浪費すること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0826,【中原】,⇔,"しえい
こじ
こっか",◆３,四裔,"▼【中原】チュウゲン
1.広い野原の中央。
2.中国の黄河中流地域で、漢民族の起こった地。
3.国の中央部。転じて、政権争いの場。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔四裔〕シエイ
四方の遠いはて。また、四方のはての未開の国。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0827,【長生】,⇔,"うゆう
こうり
ようこん",◆３,夭昏,"▼【長生】チョウセイ
長生きをすること。長命。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔夭昏〕ヨウコン
わかじに。〈字源〉
◇漢字ペディア下付き"
H0828,【点額】,⇔,"きょがん
ほりゅう
せっけい",◆３,折桂,"▼【点額】テンガク
1.額に字や画をかくこと。
2.試験に落第すること。鯉(ｺｲ)が竜門を登れば竜となり、失敗すれば額に傷をつけて帰るという伝説から。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔折桂〕セッケイ
1.中国、唐以降、進士の試験に首席で合格すること。
2.令制で、官人登用試験の策試に合格すること。〈日本国語大辞典〉
★晋の郤詵(ｹﾞｷｾﾝ)が武帝の問いに答えて己の対策は天下第一、なお桂林の一枝、崑山の片玉の如しといったという故事から。"
H0829,【入相】,⇔,"ちめい
きょうしょう
きか",◆３,遅明,"▼【入相】いりあい
1.夕暮れ。日がくれるころ。
2.「入相の鐘」の略。夕方、寺でつく鐘。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔遅明〕チメイ
夜が明けるころ。〈漢字ペディア〉
★明(ﾒｲ)を遅(ﾏ)つ意から。
◇漢字ペディア大見出し"
H0830,【八尋】,⇔,"しゅうごう
ほうじょう
とくど",◆３,秋毫,"▼【八尋】やひろ
非常に長いこと。また、非常に大きいこと。〈日本国語大辞典〉","▼〔秋毫〕シュウゴウ
秋に生え変わったばかりの、細くて先端の鋭い獣類の毛。転じて、きわめて微細なこと。わずかなこと。〈日本国語大辞典〉
◇漢字ペディア大見出し"
H0831,【八咫】,⇔,"しゅゆ
きゅうじん
けんてき",◆３,涓滴,"▼【八咫】やた／やあた
長いこと。巨大なこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔涓滴〕ケンテキ
しずく。水のしたたり。転じて、小さなもの。わずかなもの。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0832,【微賤】,⇔,"かったつ
こかん
うんしょう",◆３,雲霄,"▼【微賤】ビセン
身分･地位が低くて、卑しいこと。また、その人。≒卑賤〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔雲霄〕ウンショウ
1.雲のある空。空。
2.宮中。また、高い地位のたとえ。青雲。〈日本国語大辞典〉
◇漢字ペディア下付き"
H0833,【方輿】,⇔,"しゆい
たいきょ
てんばく",◆３,"太虚
大虚","▼【方輿】ホウヨ
地球。大地。坤輿。〈日本国語大辞典〉
★地は方形で、万物を載せると考えたところからいう。","▼〔太虚／太虚〕タイキョ
1.おおぞら。虚空。
2.中国、宋の張載(ﾁｮｳｻｲ)の宇宙万物の生成論。宇宙の本体である気が、運動して空虚になっている状態をいう。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0834,【豊壌】,⇔,"じんよ
がんこ
せきろ",◆３,斥鹵,"▼【豊壌】ホウジョウ
土地がよく肥えていること。また、そのさまや、その土地。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔斥鹵〕セキロ
塩気のある土地。塩分を含んでいる不毛の地。〈日本国語大辞典〉
◇漢字ペディア下付き"
H0835,【末班】,⇔,"しょうじょう
きゃっこう
かんべん",◆３,冠冕,"▼【末班】マッパン
すえの班次。低い位。末位。〈日本国語大辞典〉","▼〔冠冕〕カンベン
1.かんむり。「冕」は礼装用のかんむりの意。
2.第一位。首位。
3.地位の高い役人。高官。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0836,【無始】,⇔,"ばんきん
すいきょ
ゆうび",◆３,"輓近
輓今","▼【無始】ムシ
1.はじめとするときがないこと。どこから始まったか、よくわからないこと。天地未分化の状態。混沌。太初。
2.(果にはかならず因があって、その因はどこまでたどってもはてしがないところから)仏語。はじめがないこと。無限に遠い昔。転じて、遠い過去。大昔。〈日本国語大辞典〉","▼〔輓近／輓今〕バンキン
┌ちかごろ。最近。近来。〈大辞泉〉
┌1.近ごろ。近年。
└2.古代に対して、最近の世。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0837,【命日】,⇔,"たんしん
びょうとう
おうこ",◆３,誕辰,"▼【命日】メイニチ
毎年または毎月の、その人が死んだのと同じ日。≒忌日〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔誕辰〕タンシン
生まれた日。誕生日。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0838,【孟陬】,⇔,"さいにち
しょうか
びょうしゅん",◆３,杪春,"▼【孟陬】モウスウ
陰暦正月の異称。孟春。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔杪春〕ビョウシュン
春の末。暮れの春。陰暦三月ころ。≒暮春〈漢字ペディア〉
◇漢字ペディア大見出し"
H0839,【庸医】,⇔,"かんじゃく
しりん
こくしゅ",◆３,国手,"▼【庸医】ヨウイ
治療のうまくない医者。平凡な医者。藪医者。〈日本国語大辞典〉","▼〔国手〕コクシュ
1.医者の敬称。名医。国を医する名手の意。
2.囲碁の名人。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0840,【抑損】,⇔,"れいたい
こっか
きょうばつ",◆３,矜伐,"▼【抑損／抑遜】ヨクソン
おさえてひかえめにすること。慢心をおさえてへりくだること。〈日本国語大辞典〉","▼〔矜伐〕キョウバツ
他人よりもすぐれていると自負し、おごりたかぶること。また、そのさま。驕慢。〈日本国語大辞典〉
◇漢字ペディア小見出し"
H0841,【乱杙歯】,⇔,"ろくさい
こさい
しっそ",◆３,瓠犀,"▼【乱杙歯／乱杭歯】ランぐいば
重なり合うなどして、ひどくふぞろいに生えた歯。歯並びの特に悪い歯。乱杭。〈日本国語大辞典〉","▼〔瓠犀〕コサイ
ひさごの種子。白く並んだ美人の歯をたとえて言う語。〈日本国語大辞典〉
◇漢字ペディア小見出し"
H0842,【蘭交】,⇔,"だんきん
きんげき
ようこん",◆３,釁隙,"▼【蘭交】ランコウ
蘭(ﾗﾝ)の花の香りのように美しいつきあいのたとえ。心を許し合った交友にいう。≒蘭契〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔釁隙〕キンゲキ
物事のすきま。また、不和。仲たがい。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0843,【哄笑】,⇔,"ちんじん
ぎょっきょう
きゅうけつ",◆３,泣血,"▼【哄笑】コウショウ
┌大勢の人が大声で笑うこと。どよめき笑うこと。〈漢字ペディア〉
┌大きな声でどっと笑うこと。≒高笑〈漢字源〉
◇漢字ペディア大見出し","▼〔泣血〕キュウケツ
血が出ると思われるほど涙をながして泣くこと。非常に悲しみ泣くこと。血の涙。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0844,【嘲罵】,⇔,"しょうじ
ちゅうりん
おうが",◆３,頌辞,"▼【嘲罵】チョウバ
あざけりののしること。≒罵倒、⇔称賛・賛嘆〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔頌辞〕ショウジ
人徳や功績などをほめたたえることば。賛辞。賞辞。頌詞。〈日本国語大辞典〉"
H0845,【坎日】,⇔,"ごむにち
そうこう
きっしん",◆３,吉辰,"▼【坎日】カンニチ
陰陽道で、諸事を凶とする日。外出などを控えるとされる。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔吉辰〕キッシン
めでたい日。よい日。≒吉日、佳辰〈漢字ペディア〉
◇漢字ペディア大見出し"
H0846,【幺麼】,⇔,"りゅうじょう
ほうたい
えきよう",◆３,蜂蠆,"▼【幺麼】ヨウマ
小さいこと。取るに足りないこと。また、そのような人。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔蜂蠆〕ホウタイ
ハチとサソリ。小さくても恐ろしいもののたとえ。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0847,【慍色】,⇔,"さんがん
はいかい
かんきょう",◆３,"緩頰
緩頬","▼【慍色】ウンショク／オンショク
┌腹を立てて、むっとした顔つき。おんしょく。〈大辞泉〉
┌憤り、うらむ顔つき。むっとした顔色･様子。≒慍容〈漢辞海〉
◇漢字ペディア小見出し","▼〔緩頰〕カンキョウ
1.顔色を和らげること。また、顔色を和らげて婉曲に話すこと。
2.「緩頰を煩わす」の略。自分のことを人に託して話してもらうこと。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0848,【昊天】,⇔,"きょうきょく
まいそう
ちい",◆３,地維,"▼【昊天】コウテン
1.広く大きい空。大空。天。
2.夏の空。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔地維〕チイ
大地。〈日本国語大辞典〉
★大地をささえていると考えられる綱の意。
◇漢字ペディア下付き"
H0849,【杞梓】,⇔,"ちょれき
こっとつ
ふんゆ",◆３,"樗櫟
樗櫪
樗檪","▼【杞梓】キシ
杞（センダンまたはヤナギの一種）と梓（アカメガシワまたはトウキササゲ）。ともに良材として器物を作るのに用いられる。転じて、有用の材。〈日本国語大辞典〉
◇漢字ペディア小見出し","▼〔樗櫟／樗櫪〕チョレキ
役に立たないもの。また、自分をへりくだっていう語。樗散。〈日本国語大辞典〉
★樗はニワウルシの意、櫟はクヌギの意でともに材木としては役に立たないことから。"
H0850,【殤死】,⇔,"きんゆ
てんそ
じゅこう",◆３,寿考,"▼【殤死】ショウシ
若くて死ぬこと。わかじに。はやじに。夭死。夭折。〈日本国語大辞典〉","▼〔寿考〕ジュコウ
長生き。長命。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0851,【磊塊】,⇔,"れっぱく
りゅうりょう
せいげつ",◆３,霽月,"▼【磊塊／磊嵬】ライカイ
1.積み重なった多くの石のかたまり。
2.積み重なった不平や不満。
3.心中が穏やかでないさま。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔霽月〕セイゲツ
1.雨上がりに出る月。また、晴れ渡った空の月。
2.なんの曇り（心のわだかまり）もない、心境のたとえ。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0852,【耆老】,⇔,"こんこう
あいこく
すいちょう",◆３,垂髫,"▼【耆老】キロウ
1.老人。
2.年老いて徳の高い人。〈漢字ペディア〉
★「耆」は、六十歳。「老」は、七十歳の意。
◇漢字ペディア大見出し","▼〔垂髫〕スイチョウ
1.子どもの垂れた髪。さげがみ。また、髪をそのようにした子ども。垂髪。うない。
2.幼い時。幼時。幼年。〈日本国語大辞典〉
◇漢字ペディア下付き"
H0853,【脣歯】,⇔,"げきふ
れいたく
すいか",◆３,水火,"▼【脣歯／唇歯】シンシ
1.くちびると歯。
2.互いに利害関係が密接であること。唇歯輔車。〈日本国語大辞典〉
◇漢字ペディア小見出し","▼〔水火〕スイカ
1.水と火。
2.出水と火事。
3.非常に危ないことと苦しいこと。
4.ひどく仲が悪いこと。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0854,【駑駘】,⇔,"きゅうろう
ぼうよう
えいだつ",◆３,"穎脱
頴脱","▼【駑駘】ドタイ
┌1.のろい馬。
└2.転じて、才能が劣っていること。また、その人。〈大辞林〉
┌≒駑馬
├1.のろい馬。鈍い馬。
└2.鈍才。劣った人。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔穎脱〕エイダツ
才能が群を抜いてすぐれていること。〈漢字ペディア〉
★袋に入れた錐(ｷﾘ)の先が布を突き抜けて外に出るという意から。
◇漢字ペディア大見出し"
H0855,【鬩牆】,⇔,"がいはく
ゆうう
きんじ",◆３,友于,"▼【鬩牆】ゲキショウ
兄弟げんか。うちわもめ。〈漢字ペディア〉「兄弟(ｹｲﾃ)牆(ｶｷ)に鬩(ｾﾒ)げども外(ｿﾄ)其(ｿ)の務(ｱﾅﾄﾞ)りを禦(ﾌｾ)ぐ」による言葉。
◇漢字ペディア大見出し","▼〔友于〕ユウウ
兄弟の仲が良いこと。転じて、兄弟。はらから。〈日本国語大辞典〉
★「友于兄弟（兄弟(ｹｲﾃｲ)に友(ﾕｳ)たり）」の前半を掲げて、後半部の意味を表す修辞法。
◇漢字ペディア下付き"
H0856,【𠮟正】,≒,"えいふ
きょうげき
きどう",◆３,郢斧,"▼【𠮟正】シッセイ
1.しかって正しく直すこと。
2.詩文などの添削を受けるときに、謙遜していう語。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔郢斧〕エイフ
詩文の添削を頼むときに使う語。〈漢字ペディア〉
★郢の大工の名人石(ｾｷ)が、人の鼻についた壁土を斧(ｵﾉ)ひとふりでけがもなく削りとった故事から。
◇漢字ペディア大見出し"
H0857,【曬書】,≒,"はんどく
だっさいぎょ
ばくりょう",◆３,曝涼,"▼【曬書／晒書】サイショ
書物を日にさらして虫干しをする。≒曝書(ﾊﾞｸｼｮ)〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔曝涼〕バクリョウ
衣類や本類･道具類などを日に当てて、風を通すこと。虫干し。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0858,【簞食】,≒,"こうちゅう
ごうはん
こしょう",◆３,"行厨
行廚","▼【簞食】タンシ
竹で編んだ器に、飯を盛ること。また、その盛った飯。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔行厨〕コウチュウ
昔、木や竹のわりご（仕切りのある弁当箱）に入れた携帯用の食べ物。弁当。≒簞食〈漢字ペディア〉
◇漢字ペディア大見出し"
H0859,【繫累】,≒,"てんばく
えんおう
れんざ",◆３,"纏縛
纒縛","▼【繫累／係累】ケイルイ
心や身をつなぎとめるもの。特に、両親や妻子など足手まといとなる親族。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔纏縛〕テンバク
1.まといしばること。足かせをかけること。からみしばること。
2.妻子･眷族など、わが身を束縛したり、あしでまといになったりするもの。
3.仏語。煩悩に縛られて自由を失うこと。纏は煩悩の一つ。〈日本国語大辞典〉"
H0860,【皁隷】,≒,"がんかん
てんこ
しよう",◆３,"廝養
厮養","▼【皁隷】ソウレイ
身分のいやしい者。しもべ。召使い。奴僕。〈日本国語大辞典〉
◇漢字ペディア小見出し","▼〔廝養〕シヨウ
┌こもの。従者。また、いやしいものの称。〈日本国語大辞典〉
┌雑用係。雑役夫。≒廝徒〈漢辞海〉
◇漢字ペディア小見出し"
H0861,【遺状】,≒,"げきぶん
ついひ
えいしょ",◆３,楹書,"▼【遺状】ユイジョウ
死後にのこす文書。遺言状。遺書。〈日本国語大辞典〉","▼〔楹書〕エイショ
遺言書。〈漢辞海〉
★春秋斉の宰相晏嬰(ｱﾝｴｲ)が臨終の際、柱に穴を開けて遺言をしまい、その子に遺した故事から。
◇漢字ペディア小見出し"
H0862,【一粟】,≒,"せきちょ
けんあい
ぼうだ",◆３,涓埃,"▼【一粟】イチゾク
一つぶの粟(ｱﾜ)の実。転じてきわめて小さい物のたとえ。「大海の一粟」などと使う。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔涓埃〕ケンアイ
しずくとちり。涓滴(ｹﾝﾃｷ)と塵埃(ｼﾞﾝｱｲ)。転じて、きわめてわずかな物や事のたとえにも用いる。〈日本国語大辞典〉
◇漢字ペディア下付き"
H0863,【一壺天】,≒,"かいき
とうえい
べっけんこん",◆３,別乾坤,"▼【一壺天】イッコテン
一つの小天地。別世界。〈日本国語大辞典〉
★後漢の費長房が市場の役人のとき、薬売りの老人の壺に入れてもらうと、中は酒やご馳走の別天地であったという故事から。壺中の天。","▼〔別乾坤〕ベッケンコン
普通とは違った世界。別世界。別天地。〈大辞泉〉"
H0864,【咽喉】,≒,"かんやく
ふんぷ
ていい",◆３,"関鑰
関鎰","▼【咽喉】インコウ／エンコウ
1.咽頭と喉頭。のど。
2.転じて、重要な通路。必ず通らなければならない場所。大切な場所。〈日本国語大辞典〉
◇漢字ペディア大見出し","▼〔関鑰／関鎰〕カンヤク
1.かんぬきと錠。門戸の戸締まり。≒関鍵(ｶﾝｹﾝ)
2.出入りの要所。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0865,【引接】,≒,"さいど
きょたん
けいてき",◆３,済度,"▼【引接／引摂】インジョウ
(仏)仏が衆生を救い極楽へ導くこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔済度〕サイド
(仏)仏が迷い苦しんでいる衆生を救い、悟りの境地に導くこと。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0866,【迂生】,≒,"かんきょう
とんじ
ふねい",◆３,不佞,"▼【迂生】ウセイ
わたくし。自分。≒小生、愚生〈漢字ペディア〉
★世情にうといおろか者の意。男性が手紙などで自分をへりくだっていう語。
◇漢字ペディア大見出し","▼〔不佞〕フネイ
1.才能のないこと。はたらきがないこと。また、そのさま。
2.自称。男子がみずからへりくだって用いる語。近世、「足下」に対するものとして、ほぼ対等の人の間で使われた。〈日本国語大辞典〉★「佞」は、才能、才気の意。
◇漢字ペディア下付き"
H0867,【駅程】,≒,"けいてい
りょじ
しゃたん",◆３,旅次,"▼【駅程】エキテイ
宿駅から宿駅へかけての道のり。駅路の道のり。また、旅路。〈日本国語大辞典〉","▼〔旅次〕リョジ
旅のやどり。旅宿。また、道中。〈日本国語大辞典〉
◇漢字ペディア大見出し"
H0868,【炎陽】,≒,"いじつ
かくき
びょうしゅん",◆３,畏日,"▼【炎陽】エンヨウ
夏の日光。夏の太陽。また、太陽の照りつける夏の時候。驕陽。〈日本国語大辞典〉","▼〔畏日〕イジツ
光の強い真夏の太陽のこと。また夏の日。⇔愛日〈漢字ペディア〉
★中国、晋の趙衰(ﾁｮｳｼ)と趙盾(ﾁｮｳﾄﾝ)の人物評を求められた賈季(ｶｷ)が「趙衰は冬の太陽で、趙盾は夏の太陽です」と答えたという『春秋左氏伝』の文に、晋の杜預(ﾄﾖ)が「冬の太陽は親しむべきで、夏の太陽はおそれるべきである」という注を付したことから。
◇漢字ペディア大見出し"
H0869,【鉛黛】,≒,"えんらん
ちょうこん
しふん",◆３,脂粉,"▼【鉛黛】エンタイ
1.おしろいとまゆずみ。
2.化粧。≒粉黛〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔脂粉〕シフン
紅とおしろい。転じて、化粧。〈漢字ペディア〉
◇漢字ペディア大見出し"
